"日時","注文 ID","取引ID","ペア","売・買","注文数量","手数料","価格","ステータス","自己・媒介"
"2021/01/08 11:29:25","JFX20210108-022925-100258F","JEX20210108-022925-100283F","FX_BTC_JPY","買い","0.1096","0","4,051,103","取引済","媒介"
"2021/01/08 11:29:25","JFX20210108-022925-100258F","JEX20210108-022925-100275F","FX_BTC_JPY","買い","0.02","0","4,050,945","取引済","媒介"
"2021/01/08 11:29:25","JFX20210108-022925-100258F","JEX20210108-022925-100262F","FX_BTC_JPY","買い","0.0249","0","4,050,436","取引済","媒介"
"2020/07/31 07:56:34","JOR20200730-225634-624011","JEX20200730-225634-624028","BTC_JPY","売り","0.15664833","0.00023497","1,166,593","取引済","媒介"
"2019/06/04 08:23:39","JFX20190531-004917-800079F","JEX20190603-232339-334901F","FX_BTC_JPY","買い","0.1","0","918,000","取引済","媒介"
"2019/04/02 13:33:56","JFX20190401-020705-126082F","JEX20190402-043356-215983F","FX_BTC_JPY","売り","0.1","0","475,000","取引済","媒介"
"2018/11/21 05:19:14","JFX20181120-201914-489607F","JEX20181120-201914-489627F","FX_BTC_JPY","売り","0.18","0","475,230","取引済","自己"
"2018/11/21 05:19:14","JFX20181120-201914-489607F","JEX20181120-201914-489616F","FX_BTC_JPY","売り","0.32","0","475,372","取引済","媒介"
"2018/11/15 23:44:11","JFX20181114-203933-722974F","JEX20181115-144411-774118F","FX_BTC_JPY","買い","0.1","0","605,000","取引済","媒介"
"2018/11/15 19:22:35","JFX20181114-203758-554454F","JEX20181115-102235-551427F","FX_BTC_JPY","買い","0.1","0","610,000","取引済","媒介"
"2018/11/15 19:22:09","JFX20181114-203950-765071F","JEX20181115-102209-520224F","FX_BTC_JPY","買い","0.1","0","615,000","取引済","媒介"
"2018/11/15 01:21:02","JFX20181105-023724-711117F","JEX20181114-162102-386588F","FX_BTC_JPY","買い","0.2","0","690,000","取引済","媒介"
"2018/11/05 00:55:57","JFX20181019-012939-034951F","JEX20181104-155557-952700F","FX_BTC_JPY","売り","0.1","0","752,000","取引済","媒介"
"2018/08/14 11:06:26","JFX20180808-065027-711915F","JEX20180814-020626-106214F","FX_BTC_JPY","買い","0.1","0","660,000","取引済","媒介"
"2018/08/08 07:49:25","JFX20180807-224732-242214F","JEX20180807-224925-365010F","FX_BTC_JPY","買い","0.08443472","0","768,000","取引済","媒介"
"2018/08/08 07:49:25","JFX20180807-224732-242214F","JEX20180807-224925-364986F","FX_BTC_JPY","買い","0.01556528","0","768,000","取引済","媒介"
"2018/08/06 22:36:48","JFX20180805-230714-057626F","JEX20180806-133648-428131F","FX_BTC_JPY","買い","0.2","0","785,000","取引済","媒介"
"2018/08/06 08:06:44","JFX20180805-230644-039035F","JEX20180805-230644-039044F","FX_BTC_JPY","売り","0.1","0","797,186","取引済","媒介"
"2018/07/19 12:13:56","JFX20180719-014800-814636F","JEX20180719-031356-332287F","FX_BTC_JPY","売り","0.1","0","860,000","取引済","媒介"
"2018/07/18 02:37:38","JFX20180717-044304-457599F","JEX20180717-173738-131811F","FX_BTC_JPY","売り","0.1","0","795,000","取引済","媒介"
"2017/12/27 01:13:30","JFX20171226-161330-771950F","JEX20171226-161330-095712F","FX_BTC_JPY","買い","0.15731967","0","2,217,553","取引済","媒介"
"2017/12/27 01:13:30","JFX20171226-161330-771950F","JEX20171226-161330-095700F","FX_BTC_JPY","買い","0.04268033","0","2,217,553","取引済","媒介"
"2017/12/26 18:15:05","JFX20171226-090832-662128F","JEX20171226-091505-284766F","FX_BTC_JPY","売り","0.2","0","2,094,500","取引済","媒介"
"2017/12/26 08:47:14","JFX20171225-233337-472791F","JEX20171225-234714-943671F","FX_BTC_JPY","買い","0.1","0","1,980,000","取引済","媒介"
"2017/12/26 08:32:49","JFX20171225-233226-453767F","JEX20171225-233249-894918F","FX_BTC_JPY","売り","0.00106293","0","1,990,830","取引済","媒介"
"2017/12/26 08:32:46","JFX20171225-233226-453767F","JEX20171225-233246-894772F","FX_BTC_JPY","売り","0.09893707","0","1,990,830","取引済","媒介"
"2017/12/23 11:24:37","JFX20171223-015715-965331F","JEX20171223-022437-973505F","FX_BTC_JPY","売り","0.1","0","2,210,000","取引済","媒介"
"2017/12/23 10:56:59","JFX20171223-015652-959140F","JEX20171223-015659-836375F","FX_BTC_JPY","買い","0.1","0","2,160,000","取引済","媒介"
"2017/12/23 00:20:39","JFX20171222-152039-728374F","JEX20171222-152039-670562F","FX_BTC_JPY","買い","0.3","0","1,942,490","取引済","自己"
"2017/12/22 23:27:13","JFX20171222-142401-214633F","JEX20171222-142713-391308F","FX_BTC_JPY","売り","0.3","0","1,730,000","取引済","媒介"
"2017/12/22 22:53:08","JFX20171222-134850-932333F","JEX20171222-135308-228151F","FX_BTC_JPY","買い","0.3","0","1,835,000","取引済","媒介"
"2017/12/22 22:47:02","JFX20171222-134657-918972F","JEX20171222-134702-201065F","FX_BTC_JPY","売り","0.3","0","1,875,000","取引済","媒介"
"2017/12/22 22:23:58","JFX20171222-131532-635804F","JEX20171222-132358-079595F","FX_BTC_JPY","買い","0.2","0","1,821,000","取引済","媒介"
"2017/12/22 22:13:51","JFX20171222-131351-620742F","JEX20171222-131351-022683F","FX_BTC_JPY","売り","0.023","0","1,876,450","取引済","媒介"
"2017/12/22 22:13:51","JFX20171222-131351-620742F","JEX20171222-131351-022672F","FX_BTC_JPY","売り","0.177","0","1,877,840","取引済","媒介"
"2017/12/22 22:05:25","JFX20171222-130525-551938F","JEX20171222-130525-980383F","FX_BTC_JPY","買い","0.3","0","1,925,083","取引済","媒介"
"2017/12/22 21:59:34","JFX20171222-125609-471338F","JEX20171222-125934-951051F","FX_BTC_JPY","売り","0.196098","0","1,946,500","取引済","媒介"
"2017/12/22 21:59:34","JFX20171222-125609-471338F","JEX20171222-125934-951048F","FX_BTC_JPY","売り","0.1","0","1,946,500","取引済","媒介"
"2017/12/22 21:59:34","JFX20171222-125609-471338F","JEX20171222-125934-951035F","FX_BTC_JPY","売り","0.003902","0","1,946,500","取引済","媒介"
"2017/12/22 21:52:03","JFX20171222-124239-331069F","JEX20171222-125203-908918F","FX_BTC_JPY","買い","0.1799205","0","1,945,000","取引済","媒介"
"2017/12/22 21:52:03","JFX20171222-124239-331069F","JEX20171222-125203-908896F","FX_BTC_JPY","買い","0.1","0","1,945,000","取引済","媒介"
"2017/12/22 21:52:03","JFX20171222-124239-331069F","JEX20171222-125203-908882F","FX_BTC_JPY","買い","0.0200795","0","1,945,000","取引済","媒介"
"2017/12/22 21:42:16","JFX20171222-124216-327149F","JEX20171222-124216-846588F","FX_BTC_JPY","売り","0.1","0","1,966,079","取引済","媒介"
"2017/12/22 21:42:16","JFX20171222-124216-327149F","JEX20171222-124216-846579F","FX_BTC_JPY","売り","0.2","0","1,966,464","取引済","媒介"
"2017/12/22 20:29:59","JFX20171222-112410-431378F","JEX20171222-112959-444621F","FX_BTC_JPY","買い","0.2","0","2,021,000","取引済","媒介"
"2017/12/22 20:23:20","JFX20171222-112109-395582F","JEX20171222-112320-416972F","FX_BTC_JPY","売り","0.2","0","2,035,000","取引済","媒介"
"2017/12/20 09:33:54","JFX20171220-003354-587721F","JEX20171220-003354-562059F","FX_BTC_JPY","売り","0.5","0","2,365,001","取引済","媒介"
"2017/12/19 19:45:36","JFX20171219-051817-369520F","JEX20171219-104536-602940F","FX_BTC_JPY","買い","0.5","0","2,515,000","取引済","媒介"
"2017/12/19 12:48:57","JFX20171218-123942-723205F","JEX20171219-034857-665548F","FX_BTC_JPY","売り","0.03604894","0","2,632,000","取引済","媒介"
"2017/12/19 12:48:56","JFX20171218-123942-723205F","JEX20171219-034856-665478F","FX_BTC_JPY","売り","0.36395106","0","2,632,000","取引済","媒介"
"2017/12/18 21:38:07","JFX20171218-123807-702610F","JEX20171218-123807-188432F","FX_BTC_JPY","買い","0.4","0","2,610,000","取引済","媒介"
"2017/12/18 20:22:19","JFX20171218-072005-337998F","JEX20171218-112219-730374F","FX_BTC_JPY","売り","0.4","0","2,583,000","取引済","媒介"
"2017/12/18 16:09:57","JFX20171218-070746-220020F","JEX20171218-070957-307559F","FX_BTC_JPY","買い","0.23207035","0","2,564,000","取引済","媒介"
"2017/12/18 16:09:57","JFX20171218-070746-220020F","JEX20171218-070957-307548F","FX_BTC_JPY","買い","0.04","0","2,564,000","取引済","媒介"
"2017/12/18 16:09:56","JFX20171218-070746-220020F","JEX20171218-070956-307536F","FX_BTC_JPY","買い","0.12792965","0","2,564,000","取引済","媒介"
"2017/12/18 00:26:53","JFX20171217-152653-892761F","JEX20171217-152653-149902F","FX_BTC_JPY","売り","1","0","2,510,000","取引済","媒介"
