"取引日時","通貨","取引種別","取引価格","通貨1","通貨1数量","手数料","通貨1の対円レート","通貨2","通貨2数量","手数料(JPY)","課税区分","自己・媒介","注文 ID","備考"
"2017/11/29 09:37:43","BTC","証拠金引出","0","BTC","0.05","0","1,295,023","","0","","","","CAC20171129-003745-135752",""
"2017/11/28 10:33:24","JPY","手数料","0","JPY","-756","0","0","","0","","","","MWD20171128-013324-419932F",""
"2017/11/28 10:33:24","JPY","出金","0","JPY","-50,000","0","0","","0","","","","MWD20171128-013324-419932",""
"2017/11/25 22:07:20","JPY","証拠金引出","0","JPY","500,000","0","0","","0","","","","CAC20171125-130719-037815",""
"2017/11/25 22:05:28","BTC","証拠金預入","0","BTC","-0.17017075","0","948,379","","0","","","","POC20171125-130528-905826",""
"2017/11/24 13:09:09","BTC","預入","0","BTC","0.10052176","0","911,269","","0","","","","CDP20171124-040908-992567",""
"2017/11/21 18:29:58","BTC","手数料","0","BTC","-0.0004","0","928,507","","0","","","","CWD20171121-092958-986444F",""
"2017/11/21 18:29:58","BTC","外部送付","0","BTC","-0.044","0","928,507","","0","","","","CWD20171121-092958-986444",""
"2017/11/21 18:27:52","ETH","外部送付","0","ETH","-0.12040069","0","41,522.83304","","0","","","","CWD20171121-092752-979137",""
"2017/11/17 08:25:28","JPY","証拠金引出","0","JPY","225,597","0","0","","0","","","","CAC20171116-232527-223432",""
"2017/11/15 21:47:11","BTC","証拠金引出","0","BTC","0.1","0","810,900","","0","","","","CAC20171115-124711-195811",""
"2017/11/13 10:17:12","BTC","証拠金預入","0","BTC","-0.1","0","746,593","","0","","","","POC20171113-011712-916187",""
"2017/11/13 10:16:34","BTC/JPY","買い","671,000","BTC","0.05","-0.000015","671,000","JPY","-33,550","","","媒介","JOR20171113-011558-484571",""
"2017/11/13 10:11:37","JPY","手数料","0","JPY","-324","0","0","","0","","","","MDP20171113-011137-894818F",""
"2017/11/13 10:11:37","JPY","入金","0","JPY","50,324","0","0","","0","","","","MDP20171113-011137-894818",""
"2017/11/11 07:41:57","BTC/JPY","買い","753,000","BTC","0.03","-0.000009","753,000","JPY","-22,590","","","媒介","JOR20171110-221543-828302",""
"2017/10/30 13:00:50","ETH/JPY","買い","41,528","ETH","0.12040069","0","41,528","JPY","-5,000","","","自己","GUC20171030-040050-381251",""
"2017/10/30 13:00:50","JPY","入金","0","JPY","5,000","0","0","","0","","","","MDC20171030-040050-381248",""
"2017/10/28 02:27:47","ETH","外部送付","0","ETH","-2.5","0","33,473.46065","","0","","","","CWD20171027-172747-107511",""
"2017/10/28 02:25:45","ETH/JPY","買い","37,126","ETH","2.5","0","37,126","JPY","-92,815","","","自己","BFF20171027-172545-100887",""
"2017/10/28 02:22:53","JPY","証拠金引出","0","JPY","70,000","0","0","","0","","","","CAC20171027-172253-001505",""
