Transaction,Type,Input Currency,Input Amount,Output Currency,Output Amount,USD Equivalent,Fee,Fee Currency,Details,Date / Time (UTC)
NXT422dHVD0pqo1kSE72yxJLn,Interest,NEXO,0.97170784,NEXO,0.97170784,$0.90,-,-,"approved / NEXO Interest Earned",2026-05-12 05:00:00
NXT3hFOtFUvjKbHn8J62kc2ad,Interest,NEXO,0.78876965,NEXO,0.78876965,$0.73,-,-,"approved / 0.00000890 BTC",2026-05-12 05:00:00
NXT5fcRrtQWGPpnCMgv6jO3y7,Interest,NEXO,17.90871964,NEXO,17.90871964,$16.50,-,-,"approved / 16.501206 USDT",2026-05-12 05:00:00
NXT4OsineMft8O723oSa5Gc43,Dual Investment Lock,USDT,-1000.00000000,USDT,1000.00000000,$999.70,-,-,"completed / Transfer from Savings Wallet to Dual Investment",2026-05-12 03:58:02
NXTgbFAi8R02zQg6RzXsHXTe,Withdrawal,SOL,-20.69461174,SOL,20.69461174,$1990.62,-,-,"approved / SOL withdrawal",2026-05-12 02:20:51
NXT6zphQ2TEGQoGY2HDBzrTvC,Transfer From Pro Wallet,USDT,2.18383000,USDT,2.18383060,$2.18,-,-,"approved / USDT Transfer from Nexo Pro Wallet to Savings Wallet",2026-05-12 02:20:05
NXT70FrHiDVB47BEO3l8AOxKd,Transfer From Pro Wallet,SOL,20.69461174,SOL,20.69461174,$1990.96,-,-,"approved / SOL Transfer from Nexo Pro Wallet to Savings Wallet",2026-05-12 02:20:00
NXT1GUOER23n5TFYTjX1yb7HC,Transfer From Pro Wallet,NEXO,98.69396313,NEXO,98.69396313,$90.42,-,-,"approved / NEXO Transfer from Nexo Pro Wallet to Savings Wallet",2026-05-12 02:19:52
NXT3yteqRAwD3LjOYDTbYKX9c,Transfer To Pro Wallet,USDT,-2000.00000000,USDT,2000.00000000,$1999.39,-,-,"approved / USDT Transfer from Savings Wallet to Nexo Pro Wallet",2026-05-12 01:41:54
NXT5dNCd4BwvaNzECsLtWZXWV,Transfer To Pro Wallet,NEXO,-100.00000000,NEXO,100.00000000,$91.23,-,-,"approved / NEXO Transfer from Savings Wallet to Nexo Pro Wallet",2026-05-12 01:41:30
NXT7J1h2TWaW7K2Umn1ebZfwY,Transfer From Pro Wallet,NEXO,1.39990157,NEXO,1.39990157,$1.29,-,-,"approved / NEXO Transfer from Nexo Pro Wallet to Savings Wallet",2026-05-11 23:22:44
