id,timestamp,pair,side,type,price,executedPrice,triggerPrice,requestedAmount,filledAmount,tradingFee,feeCurrency,status,orderId
184085072,2026-04-08 06:57:39.037,SOL/USDT,buy,market,,,,6.01,0.00000000,,,completed,4e58bed4-af79-4e21-825e-2777efea836b
184085050,2026-04-08 06:57:04.718,USDC/USDT,sell,market,0.99990000,0.99990000,,409.0,409.00000000,0.4164317361543248,NEXO,completed,2427c363-d7ae-4d32-836b-e39243031776
184011787,2026-04-07 05:32:14.249,NEXO/USDT,sell,market,0.84800000,0.84800000,,54.19,54.19000000,0.0487595001178967,NEXO,completed,36a2945a-332b-408a-a89e-b0f8db2ec298
184011753,2026-04-07 05:30:51.369,XRP/USDT,buy,market,1.31270000,1.31270000,,200.0,200.00000000,0.2785628389530771,NEXO,completed,38a64017-b8f6-4f0f-8520-d49974f2bcf7
184011732,2026-04-07 05:29:07.348,USDC/USDT,sell,market,0.99980000,0.99980000,,300.0,300.00000000,0.2824958794443136,NEXO,completed,7b807d47-b6a0-462b-88e6-bf7007fabc2c
183634143,2026-04-01 10:00:06.515,SOL/USDT,sell,market,83.29661000,83.29661000,,74.33,74.33000000,5.6896784986962265,NEXO,completed,9dae5b57-84c4-4940-a40a-3926ccbe32a8
183619131,2026-04-01 03:28:54.943,NEXO/USDT,sell,market,0.87000000,0.87000000,,590.0,590.00000000,0.4712389761362398,NEXO,completed,8fff9d8b-2300-43e0-a356-c69765e58f68
183619124,2026-04-01 03:27:59.083,SOL/USDT,sell,market,83.01689000,83.01689000,,1.32,1.32000000,0.1005970885932148,NEXO,completed,119f67b6-e4da-417a-853f-74f9a5144e7c
183533368,2026-03-31 00:44:10.669,NEXO/USDT,buy,market,0.87900000,0.87900000,,819.11,819.11000000,0.6552880000000000,NEXO,completed,2780abf9-6b8c-49e9-a827-651543c0fc43
183533291,2026-03-31 00:42:16.866,USDC/USDT,buy,market,1.00070000,1.00070000,,7000.0,7000.00000000,6.3813211845102506,NEXO,completed,6158fe22-c3dd-4b3e-9704-72be194f65b8
183532892,2026-03-31 00:29:19.075,USDC/USDT,buy,market,1.00060000,1.00060000,,10007.0,10007.00000000,9.1241769423558897,NEXO,completed,45d76bfb-16c3-4526-aac5-3b6aa0e67a45
183532845,2026-03-31 00:27:15.346,NEXO/USDT,buy,market,0.87700000,0.87700000,,300.0,300.00000000,0.2400000000000000,NEXO,completed,516bd373-b994-4a82-bd26-90566eb6d3f5
183532702,2026-03-31 00:22:55.761,SOL/USDT,sell,market,82.23348730,82.23348730,,246.73,246.73000000,20.8465340369998293,NEXO,completed,84063329-8985-4477-91b3-2d0b18e6c090
182178522,2026-03-16 21:25:52.338,NEXO/USDT,buy,dust convert,0.92999999,0.92999999,,0.00000001053658074,0.00000001,0.00000000000948292263000000000000000000000000000000,NEXO,completed,a64cfa1a-3874-4ab5-b01c-dd0bd0ae9289
182178498,2026-03-16 21:24:56.135,NEXO/USDT,sell,market,0.93000000,0.93000000,,141.0,141.00000000,0.1269000000000000,NEXO,completed,7e8a3d9c-69b0-4dbf-bd57-f4cd17eefd4b
181543348,2026-03-10 00:46:50.433,NEXO/USDT,sell,market,0.89100000,0.89100000,,499.0,499.00000000,0.4493521617069062,NEXO,completed,365931c9-9385-4397-bf86-2654ad320fdd
181543271,2026-03-10 00:43:56.574,NEXO/USDT,sell,market,0.89000000,0.89000000,,47.0,47.00000000,0.0376000000000000,NEXO,completed,b3a6282c-137f-4731-8b0d-82d6a5cc7ce0
180900179,2026-03-03 11:10:42.569,SOL/USDT,buy,market,84.56294000,84.56294000,,3.22,3.22000000,0.2556178922048090,NEXO,completed,5d699106-135b-42cb-8e25-81069a3766dd
180900173,2026-03-03 11:10:38.834,SOL/USDT,buy,market,84.56878397,84.56878397,,103.2,103.20000000,8.1939320310575559,NEXO,completed,813f674f-ace1-45d1-83d7-8be465e7fb09
180900146,2026-03-03 11:10:27.813,SOL/USDT,buy,market,,,,106.83,0.00000000,,,completed,af8bbbe9-503b-4b19-b3ae-7f431d17dc47
180899999,2026-03-03 11:08:57.066,SOL/USDT,buy,market,,,,106.92,0.00000000,,,completed,8c0fe77d-6a50-410c-90a5-a1b299948f81
180899990,2026-03-03 11:08:53.174,SOL/USDT,buy,market,,,,106.9,0.00000000,,,completed,ab6f66f4-83bd-4709-bfb7-4882ba295375
180899969,2026-03-03 11:08:15.427,USDC/USDT,sell,market,1.00000000,1.00000000,,4000.0,4000.00000000,4.2380363764788981,NEXO,completed,4bf9db71-78b0-41fa-89ea-18612fbdb477
180756914,2026-03-01 23:43:31.95,NEXO/USDT,buy,dust convert,0.84349970,0.84349970,,0.00000001161802936,0.00000001,0.0000000000104562263700000000000000000000000000000000,NEXO,completed,e5ca1c2a-8da2-4bff-a5d2-cd6cd2c274e2
180756913,2026-03-01 23:43:31.888,NEXO/BTC,buy,dust convert,0.00001283,0.00001283,,0.000268456063957886,0.00026846,0.0000002416104575620200000000000000000000000000000000,NEXO,completed,2ececd79-f424-46c9-9a15-5221a2d13f96
180756177,2026-03-01 23:20:00.019,NEXO/USDT,sell,market,0.84171960,0.84171960,,2001.0,2001.00000000,1.7979514031550230,NEXO,completed,aa94f760-38f6-469b-9179-fba92b534e3d
180755870,2026-03-01 23:09:48.543,NEXO/USDT,buy,market,0.84400000,0.84400000,,948.89,948.89000000,0.8540010000000000,NEXO,completed,b1a3bd67-24f2-4a85-952e-9c1fe42676dc
180755765,2026-03-01 23:08:09.435,USDC/USDT,sell,market,0.99980000,0.99980000,,1000.0,1000.00000000,1.0702586975914362,NEXO,completed,a6a16574-fbfe-4028-bb90-43a7d9389f3f
180755483,2026-03-01 23:03:56.302,NEXO/USDT,sell,market,0.83891617,0.83891617,,1700.61,1700.61000000,1.5284831831438604,NEXO,completed,e8c85503-5de2-4b4c-9e16-cca778681910
180754523,2026-03-01 22:44:41.314,SOL/USDT,buy,market,83.13867000,83.13867000,,0.48,0.48000000,0.0426266055591929,NEXO,completed,6458f243-a86a-4513-ba78-8ddfa76e39ca
180754510,2026-03-01 22:44:20.267,SOL/USDT,buy,market,,,,0.5,0.00000000,,,completed,be6f09e8-c25b-46a8-9bae-3d88f2e25474
180754496,2026-03-01 22:44:15.552,SOL/USDT,buy,market,83.21261265,83.21261265,,233.84,233.84000000,16.1617531814887209,NEXO,completed,247c1561-ec67-4e7a-af7f-f6239c4bd67d
180754489,2026-03-01 22:43:59.577,SOL/USDT,buy,market,,,,234.8,0.00000000,,,completed,ac466a74-01cc-4936-b228-b3ac8140546f
180754475,2026-03-01 22:43:43.208,SOL/USDT,buy,market,,,,235.18,0.00000000,,,completed,f6314f96-419f-4a8c-b74a-0025113b0f48
180754463,2026-03-01 22:43:30.979,SOL/USDT,buy,market,,,,235.17,0.00000000,,,completed,acdd785e-9f99-493f-99cb-48093f1659f2
180754462,2026-03-01 22:43:18.672,SOL/USDT,buy,market,,,,235.36,0.00000000,,,completed,31fa5fee-023b-4325-8f02-5268d63e73cc
180754395,2026-03-01 22:41:42.053,SOL/USDT,buy,market,,,,234.72,0.00000000,,,completed,ec98b015-3e8c-49dc-9e14-50bdbce3a4b1
180754371,2026-03-01 22:40:58.641,SOL/USDT,buy,market,,,,235.15,0.00000000,,,completed,d1a7265e-a440-40a1-9ba2-0fdfd76ffb2f
180754351,2026-03-01 22:40:40.102,SOL/USDT,buy,market,,,,235.16,0.00000000,,,completed,3afbadf6-58ee-47b1-9e0c-a7cb06c322b4
180754338,2026-03-01 22:40:05.834,SOL/USDT,buy,market,,,,235.33,0.00000000,,,completed,5178946e-d949-474e-a946-dc3e9bd4af6e
180754336,2026-03-01 22:39:53.974,SOL/USDT,buy,market,,,,235.59,0.00000000,,,completed,45491fea-af63-4d49-a942-d403f4040891
